Country name,ISO code,ISO numeric code,Subnational region name,CCAPS subnational region ID,Year,Data Source,Website,Net primary attendance rate (%),Primary NAR standard error,Primary NAR sample size,Gross primary attendance rate (%),Primary GAR standard error,Primary GAR sample size,Net secondary attendance rate (%),Secondary NAR standard error,Secondar NAR sample size,Gross secondary attendance rate (%),Secondary GAR standard error,Secondary GAR sample size,Access to improved water (% of population),Improved Water (% of pop) standard error,Improved Water (% of pop) sample size,Access to improved sanitation (% of population),Improved Sanitation (% of pop) standard error,Improved Sanitation (% of pop) sample size,Electricity in household (% of population),Electricity (% of pop) standard error,Electricity (% of pop) sample size,Radio in household (% of population),Radio (% of pop) standard error,Radio (% of pop) sample size,Television in household (% of population),Television (% of pop) standard error,Television (% of pop) sample size,Radio and/or Television in household (% of population),Radio and/or TV (% of pop) standard error,Radio and/or TV (% of pop) sample size,Access to improved water (% of households),Improved Water (% of hh) standard error,Improved Water (% of hh) sample size,Access to improved sanitation (% of households),Improved Sanitation (% of hh) standard error,Improved Sanitation (% of hh) sample size,Electricity in household (% of households),Electricity (% of hh) standard error,Electricity (% of hh) sample size,Radio in household (% of households),Radio (% of hh) standard error,Radio (% of hh) sample size,Television in household (% of households),Television (% of hh) standard error,Television (% of hh) sample size,Radio and/or television in household (% of households),Radio and/or TV (% of hh) standard error,Radio and/or TV (% of hh) sample size
Burundi,BDI,108.0,Bubanza,108002.0,2011.0,DHS,www.measuredhs.com,62.212669372558594,1.5412572622299194,1494.0,102.47257995605469,3.636927604675293,1494.0,7.844529151916504,0.9651009440422058,817.0,28.771718978881836,2.8196284770965576,818.0,64.52474975585938,4.098233699798584,7248.0,42.4282341003418,5.0149126052856445,7248.0,2.6356284618377686,0.9433042407035828,7248.0,55.748538970947266,2.0219948291778564,7248.0,1.8558164834976196,0.6395370364189148,7248.0,55.49458694458008,2.013758659362793,7248.0,64.72774505615234,4.04838752746582,1441.0,41.20701599121094,4.939431190490723,1441.0,2.5634379386901855,0.9326983690261841,1441.0,50.20334243774414,1.9840675592422485,1441.0,1.6560273170471191,0.6447994112968445,1441.0,49.76765823364258,1.906296968460083,1441.0
Burundi,BDI,108.0,Bujumbura Mairie,108003.0,2011.0,DHS,www.measuredhs.com,75.80294799804688,1.6359646320343018,718.0,112.63626861572266,4.013370513916016,719.0,31.958845138549805,2.921501874923706,563.0,95.41228485107422,6.5304856300354,563.0,90.06953430175781,2.291322946548462,4752.0,86.29679870605469,4.456154823303223,4752.0,62.60743713378906,6.168787002563477,4752.0,80.24323272705078,2.6064794063568115,4752.0,53.1902961730957,5.902191162109375,4752.0,81.9727554321289,2.609640121459961,4752.0,88.54058074951172,2.479090929031372,912.0,85.6600112915039,4.584234237670898,912.0,57.10066604614258,6.255036354064941,912.0,75.30390930175781,2.7577576637268066,912.0,44.32789993286133,5.504889965057373,912.0,77.1485595703125,2.8457841873168945,912.0
Burundi,BDI,108.0,Bujumbura Rural,108004.0,2011.0,DHS,www.measuredhs.com,62.212669372558594,1.5412572622299194,1494.0,102.47257995605469,3.636927604675293,1494.0,7.844529151916504,0.9651009440422058,817.0,28.771718978881836,2.8196284770965576,818.0,64.52474975585938,4.098233699798584,7248.0,42.4282341003418,5.0149126052856445,7248.0,2.6356284618377686,0.9433042407035828,7248.0,55.748538970947266,2.0219948291778564,7248.0,1.8558164834976196,0.6395370364189148,7248.0,55.49458694458008,2.013758659362793,7248.0,64.72774505615234,4.04838752746582,1441.0,41.20701599121094,4.939431190490723,1441.0,2.5634379386901855,0.9326983690261841,1441.0,50.20334243774414,1.9840675592422485,1441.0,1.6560273170471191,0.6447994112968445,1441.0,49.76765823364258,1.906296968460083,1441.0
Burundi,BDI,108.0,Bururi,108005.0,2011.0,DHS,www.measuredhs.com,66.30883026123047,1.3722772598266602,2036.0,117.47232818603516,2.7354633808135986,2037.0,12.385632514953613,1.1007269620895386,1268.0,45.576622009277344,3.0216376781463623,1275.0,67.94131469726562,3.7489266395568848,9731.0,55.417877197265625,4.216815948486328,9731.0,3.0042431354522705,0.7748460173606873,9731.0,56.422264099121094,1.2420991659164429,9731.0,4.437776565551758,2.226572275161743,9731.0,56.785858154296875,1.2423791885375977,9731.0,67.95639038085938,3.516714334487915,1921.0,54.182552337646484,4.0306878089904785,1921.0,2.655414342880249,0.6866005659103394,1921.0,51.19027328491211,1.1531338691711426,1921.0,3.3212926387786865,1.444279432296753,1921.0,51.43999481201172,1.1580047607421875,1921.0
Burundi,BDI,108.0,Cankuzo,108006.0,2011.0,DHS,www.measuredhs.com,61.176639556884766,1.4550647735595703,2213.0,113.12741088867188,3.140667200088501,2216.0,5.808361053466797,0.8369155526161194,1438.0,22.297937393188477,2.0373644828796387,1443.0,78.77239227294922,2.694941520690918,11487.0,44.91886901855469,3.1650772094726562,11487.0,2.4687561988830566,0.7346721887588501,11487.0,56.779014587402344,1.442347764968872,11487.0,1.7206048965454102,0.5250605940818787,11487.0,56.7969856262207,1.4426645040512085,11487.0,77.69923400878906,2.8941404819488525,2405.0,43.863773345947266,3.0313804149627686,2405.0,2.0152599811553955,0.6152411103248596,2405.0,51.33647918701172,1.450344204902649,2405.0,1.289976716041565,0.36979955434799194,2405.0,51.36428451538086,1.4504141807556152,2405.0
Burundi,BDI,108.0,Cibitoke,108007.0,2011.0,DHS,www.measuredhs.com,62.212669372558594,1.5412572622299194,1494.0,102.47257995605469,3.636927604675293,1494.0,7.844529151916504,0.9651009440422058,817.0,28.771718978881836,2.8196284770965576,818.0,64.52474975585938,4.098233699798584,7248.0,42.4282341003418,5.0149126052856445,7248.0,2.6356284618377686,0.9433042407035828,7248.0,55.748538970947266,2.0219948291778564,7248.0,1.8558164834976196,0.6395370364189148,7248.0,55.49458694458008,2.013758659362793,7248.0,64.72774505615234,4.04838752746582,1441.0,41.20701599121094,4.939431190490723,1441.0,2.5634379386901855,0.9326983690261841,1441.0,50.20334243774414,1.9840675592422485,1441.0,1.6560273170471191,0.6447994112968445,1441.0,49.76765823364258,1.906296968460083,1441.0
Burundi,BDI,108.0,Gitega,108008.0,2011.0,DHS,www.measuredhs.com,61.176639556884766,1.4550647735595703,2213.0,113.12741088867188,3.140667200088501,2216.0,5.808361053466797,0.8369155526161194,1438.0,22.297937393188477,2.0373644828796387,1443.0,78.77239227294922,2.694941520690918,11487.0,44.91886901855469,3.1650772094726562,11487.0,2.4687561988830566,0.7346721887588501,11487.0,56.779014587402344,1.442347764968872,11487.0,1.7206048965454102,0.5250605940818787,11487.0,56.7969856262207,1.4426645040512085,11487.0,77.69923400878906,2.8941404819488525,2405.0,43.863773345947266,3.0313804149627686,2405.0,2.0152599811553955,0.6152411103248596,2405.0,51.33647918701172,1.450344204902649,2405.0,1.289976716041565,0.36979955434799194,2405.0,51.36428451538086,1.4504141807556152,2405.0
Burundi,BDI,108.0,Karuzi,108009.0,2011.0,DHS,www.measuredhs.com,61.176639556884766,1.4550647735595703,2213.0,113.12741088867188,3.140667200088501,2216.0,5.808361053466797,0.8369155526161194,1438.0,22.297937393188477,2.0373644828796387,1443.0,78.77239227294922,2.694941520690918,11487.0,44.91886901855469,3.1650772094726562,11487.0,2.4687561988830566,0.7346721887588501,11487.0,56.779014587402344,1.442347764968872,11487.0,1.7206048965454102,0.5250605940818787,11487.0,56.7969856262207,1.4426645040512085,11487.0,77.69923400878906,2.8941404819488525,2405.0,43.863773345947266,3.0313804149627686,2405.0,2.0152599811553955,0.6152411103248596,2405.0,51.33647918701172,1.450344204902649,2405.0,1.289976716041565,0.36979955434799194,2405.0,51.36428451538086,1.4504141807556152,2405.0
Burundi,BDI,108.0,Kayanza,108010.0,2011.0,DHS,www.measuredhs.com,59.55580520629883,1.6099976301193237,1697.0,106.6306381225586,3.426259994506836,1697.0,6.4917097091674805,0.9799859523773193,1050.0,21.49612808227539,2.0609099864959717,1052.0,81.93995666503906,3.0045573711395264,8721.0,19.436458587646484,2.187223434448242,8721.0,4.827980995178223,1.4439047574996948,8721.0,52.44914245605469,1.77008056640625,8721.0,1.712527871131897,0.3926776647567749,8721.0,52.491729736328125,1.7708183526992798,8721.0,81.27726745605469,3.084214210510254,1915.0,17.11480140686035,1.9319137334823608,1915.0,3.9964442253112793,1.2415783405303955,1915.0,46.321834564208984,1.7228503227233887,1915.0,1.135035514831543,0.238636314868927,1915.0,46.35194396972656,1.7234021425247192,1915.0
Burundi,BDI,108.0,Kirundo,108011.0,2011.0,DHS,www.measuredhs.com,59.55580520629883,1.6099976301193237,1697.0,106.6306381225586,3.426259994506836,1697.0,6.4917097091674805,0.9799859523773193,1050.0,21.49612808227539,2.0609099864959717,1052.0,81.93995666503906,3.0045573711395264,8721.0,19.436458587646484,2.187223434448242,8721.0,4.827980995178223,1.4439047574996948,8721.0,52.44914245605469,1.77008056640625,8721.0,1.712527871131897,0.3926776647567749,8721.0,52.491729736328125,1.7708183526992798,8721.0,81.27726745605469,3.084214210510254,1915.0,17.11480140686035,1.9319137334823608,1915.0,3.9964442253112793,1.2415783405303955,1915.0,46.321834564208984,1.7228503227233887,1915.0,1.135035514831543,0.238636314868927,1915.0,46.35194396972656,1.7234021425247192,1915.0
