,Date,Location,Country,Temperature,CO2 Emissions,Sea Level Rise,Precipitation,Humidity,Wind Speed
1,2000-01-01 20:09:43.258325832,North Rachel,South Africa,13.814430285994884,396.6634992886479,1.205714577973989,40.97408400927044,43.98294551257813,34.24929982477023
9,2000-01-08 13:27:29.324932493,North Thomas,Chad,14.121562914551053,410.5170723682955,-1.7122242470452451,15.351582928470986,88.4227939532216,47.92252054153893
13,2000-01-11 22:06:22.358235823,Hughesville,Rwanda,15.788180996646265,373.3412975290676,-2.0615358826600483,13.36168293068376,56.94488536727391,23.386007990776783
16,2000-01-14 10:35:32.133213321,Port Robertborough,Equatorial Guinea,14.799343929906742,396.9978084368574,-1.0867896679413167,23.28876445516711,37.69558959188566,41.68841461602788
19,2000-01-16 23:04:41.908190819,Bakerburgh,Mali,10.874589265810686,415.6086325655381,1.2183139750539658,57.99068057397449,15.764406719831404,10.098796629230185
30,2000-01-26 04:51:37.749774977,Amandaville,Ethiopia,17.12078324092719,458.6236596225761,-0.2691909000634729,56.930685977181625,27.74861701207657,10.272521196582368
36,2000-01-31 05:49:57.299729973,New Bobhaven,Comoros,17.937819276378846,458.0538052429848,-0.0240244246341832,5.962754337472642,43.89037672504001,49.45909689312531
41,2000-02-04 10:38:33.591359135,East Davidshire,Seychelles,11.740209187446926,459.71396661109424,1.1792144981950052,88.0695193598249,87.41136061172733,19.33378055589348
43,2000-02-06 02:58:00.108010801,North Bryan,Gabon,7.511291128973832,379.73064806516,1.986904928068636,34.075333772491575,82.34076026980155,15.983443120144331
45,2000-02-07 19:17:26.624662466,North Ryan,Chad,9.026524681217706,391.4395820748849,0.13598059595662,25.378105879498012,17.504465103519372,25.6666735362369
47,2000-02-09 11:36:53.141314131,Lisaview,Tunisia,21.112886117354748,499.08728284844136,0.525015923020709,58.8974557477375,28.703748259084406,18.70589116677245
67,2000-02-26 06:51:18.307830783,Nathanstad,Kenya,18.05555501584053,510.1945487177534,1.5476320598636,4.934935710032418,46.47878849225421,48.808645464187336
82,2000-03-09 21:17:07.182718271,New Katrina,Uganda,15.55080106962492,410.514347776051,0.7452955637942891,93.70070429613727,94.706409266882,40.972638748866615
90,2000-03-16 14:34:53.249324932,East Brandonchester,Algeria,13.84549759192933,358.16372812448526,-1.7183261758176382,54.00304106981474,1.6699058065187011,38.68663381082524
93,2000-03-19 03:04:03.024302430,Richardchester,Lesotho,16.145513194217088,445.4429897674043,-2.160843995716154,52.93523783240089,49.129091775829615,29.84614276215404
103,2000-03-27 12:41:15.607560756,Keithmouth,Central African Republic,19.816565416170217,410.9415473842474,0.7964219507313325,30.59873000497409,85.83092995720007,16.63252027183836
109,2000-04-01 13:39:35.157515751,South Amy,Uganda,22.359159998665,360.6141822564641,-0.9946007575865754,13.14612377863863,59.002972968865045,11.334411130135605
121,2000-04-11 15:36:14.257425742,West Lisaville,Botswana,16.377487474978608,371.6271558191879,1.2355890816386783,39.63047970483399,88.6966852911248,23.40832426882311
122,2000-04-12 11:45:57.515751575,Mendezton,Botswana,9.011849740865264,436.9104277452109,1.6529104670852897,45.5622809862686,51.466961033985946,19.20215507696777
123,2000-04-13 07:55:40.774077407,Turnerville,Malawi,19.04459549833367,476.3975158434872,-0.556824400816107,30.7900469329491,10.252239010921729,38.16292002394449
125,2000-04-15 00:15:07.290729072,North Elizabeth,Cameroon,10.475711409217666,320.838342289769,-0.2576240047698848,75.37576030181816,93.62466059704592,35.32955874896431
137,2000-04-25 02:11:46.390639064,Leslieberg,Algeria,9.192959236394056,457.1070260546836,-0.9282804598651112,6.567668268205029,32.76012654485646,0.9689857985386574
143,2000-04-30 03:10:05.940594058,New Miguel,Zimbabwe,14.698620679357466,402.8447848833116,-0.6403824529230144,49.73177083897239,41.69036382259284,8.315132501520539
144,2000-04-30 23:19:49.198919892,South Jamie,Burkina Faso,8.00761253977697,377.15438338486337,2.992738262357386,93.86699805451714,40.83915437012385,29.744623121508724
151,2000-05-06 20:27:52.007200720,Randallfurt,Seychelles,8.261532948455308,396.2201910011994,-0.970312112238203,99.0744240746684,95.43543536114944,27.319165708311527
154,2000-05-09 08:57:01.782178218,North Codyhaven,Uganda,16.01635893139705,395.8091882683641,-0.4332673803751782,92.47915411705364,67.38197124619948,27.519552761880284
160,2000-05-14 09:55:21.332133212,New Kathleen,Sao Tome and Principe,28.94417171581308,421.8310087938389,-0.2367323046502948,84.90494458383814,65.88921059496904,16.269137641749175
171,2000-05-23 15:42:17.173717370,West Victoriafurt,Niger,9.475998730169646,337.27554219989594,-1.0045927084474664,89.46369727366043,96.13601848962912,26.916815269569224
174,2000-05-26 04:11:26.948694868,Villarrealstad,Burkina Faso,17.49486471096342,406.1022046798554,-1.0217709670451425,74.57907942556601,92.17786726424444,4.664633678650764
182,2000-06-01 21:29:13.015301530,South Lisaside,Djibouti,8.841050537082833,387.8523192312647,-1.4071569739388528,6.483507698174307,89.53462536919949,10.488713738065536
197,2000-06-14 11:55:01.890189018,Port Andrewhaven,Botswana,13.650258218859843,288.45189752178425,1.155520840841114,5.135018980767125,44.217218498032565,3.8440678779907143
207,2000-06-22 21:32:14.473447344,Port Patrick,Guinea,19.42935582957179,404.4671881595641,1.9709993857809724,19.26757129136852,34.11168529715991,37.86933237246918
214,2000-06-28 18:40:17.281728172,Jessicatown,South Africa,12.406180480507194,365.7648749551163,1.5863079068640211,46.86802393064657,52.94825700736608,47.32950090760645
217,2000-07-01 07:09:27.056705670,Cuevasfort,Algeria,11.49634199398833,472.5399843713094,-0.9888027933340195,16.37736996174912,18.7044554505286,2.59033877409432
218,2000-07-02 03:19:10.315031502,North Angelabury,Guinea,21.190372852523964,394.1377782793817,-1.2547836514408302,83.54141438133726,8.528261320814979,1.023867896522529
219,2000-07-02 23:28:53.573357334,Riverahaven,Togo,24.68269501970009,324.70588429347083,-0.1476431674106294,47.86822962127447,3.072092068677024,34.344246985928336
220,2000-07-03 19:38:36.831683168,Kristinafort,Equatorial Guinea,22.516583859481443,405.6672037699065,0.1813062951398355,0.7187429095846909,73.73640918222603,42.70191924361293
228,2000-07-10 12:56:22.898289828,Justinview,Kenya,11.893053340309828,555.6477058099779,1.1947867225694928,97.08706690279476,30.52673740916353,25.95957694109099
232,2000-07-13 21:35:15.931593158,Tuckershire,Benin,10.801725040099702,436.54268010443104,2.088867891739067,32.923923628133245,97.67227429811248,11.009214300220371
235,2000-07-16 10:04:25.706570656,East Robert,Senegal,5.5725086998857485,349.53700466547457,-0.5477921181025502,22.850831920393546,23.52140953259069,43.9538027859117
236,2000-07-17 06:14:08.964896488,Bobbyborough,Mozambique,17.46927432896699,417.3939855348655,0.4468952570779975,69.09349299325346,43.051740643558986,15.606293217690595
237,2000-07-18 02:23:52.223222322,Reneeland,Madagascar,19.23646257577889,417.0988992875156,-0.3155167053667055,96.43518676705374,36.064603389984114,11.96296938519527
245,2000-07-24 19:41:38.289828982,Karinachester,Botswana,19.486267396725378,380.53435815914696,0.3442642150992105,37.19026235347602,82.08289015247081,47.0593833917218
247,2000-07-26 12:01:04.806480646,New Desiree,Comoros,25.71605742636187,376.0013700640165,0.0042725010699261,36.16296682610866,3.905196785230869,43.559687006398
254,2000-08-01 09:09:07.614761476,New Robertborough,Ghana,18.75463650859238,380.8259198306574,-0.6823336456234372,44.25494475274338,36.01303752534307,9.701974090271245
258,2000-08-04 17:48:00.648064804,North Kelseyberg,Burkina Faso,20.252692626451385,423.9130090068164,-1.322564773946672,48.89181794838385,61.04956315973461,8.095164017197959
262,2000-08-08 02:26:53.681368136,Johnsonbury,Niger,13.108343106978634,450.05793872837376,-0.7676443881335022,37.372134855926,49.19823751892668,3.0079036523634084
263,2000-08-08 22:36:36.939693968,Port Kevinberg,Comoros,16.502703028142857,420.33568355215976,0.647507544663368,37.9686142294324,88.08100382096814,49.15268387811263
283,2000-08-25 17:51:02.106210620,South Kelly,Zimbabwe,12.50480413350262,424.5037674389268,1.0733104640737523,48.00278284713089,28.02466655119533,46.95644471248868
294,2000-09-03 23:37:57.947794776,Lake Willieton,Eritrea,20.5264048013087,481.1466739293802,-0.681992422987866,85.55067449829015,96.21188746436684,32.1701868903702
297,2000-09-06 12:07:07.722772276,Jayville,Togo,17.16948110580567,469.3691696882153,1.5335533540801256,44.08151446891305,67.33740579548349,43.86111530485764
301,2000-09-09 20:46:00.756075608,South Amanda,Mali,13.802458218407402,372.6123962941689,-0.6564107704687401,40.90683943172933,5.351105667842637,35.846065167104804
304,2000-09-12 09:15:10.531053104,North Ashleyburgh,Namibia,5.522771700445441,434.9366821138535,-0.0710614809665613,88.82603941808298,58.77422159932,36.238196351045374
313,2000-09-19 22:42:39.855985596,North Virginiafort,Burkina Faso,13.084665504169692,453.21931202852926,1.0698564275887326,19.078407480162998,59.225280352628026,3.983662372060204
316,2000-09-22 11:11:49.630963096,West Whitneyberg,Eritrea,4.435225964272396,448.20945248134194,-0.194827887303925,22.69070438645925,8.277787484146092,30.666022604962656
321,2000-09-26 16:00:25.922592256,Duffyburgh,Mauritius,24.51934159272813,480.2790635480747,0.7538627537553445,55.54945894061459,73.38532070031815,44.77340799843444
323,2000-09-28 08:19:52.439243924,East Sandyside,Cote d'Ivoire,11.916570504145993,363.3038603947129,-2.662880430688632,51.69297528635276,33.28666648012892,49.09626637906597
330,2000-10-04 05:27:55.247524752,Port Jasonburgh,Lesotho,18.935923686730423,342.2068455997788,-1.908513498176928,71.70056106499155,23.93083474133334,45.71385792938965
331,2000-10-05 01:37:38.505850584,Bryantside,Morocco,14.337317639937996,472.7251158419952,-1.8946596120366332,55.84147382406369,89.56454292071999,42.98550649509069
336,2000-10-09 06:26:14.797479748,Sanchezbury,Tanzania,7.643437387626685,402.63144153337487,0.9962588205138752,57.15602803458065,60.52317176054718,35.982236996463776
343,2000-10-15 03:34:17.605760576,Stephaniemouth,Namibia,19.63198597598557,394.5840884500251,0.3509022769954201,1.8980035084112723,81.42151363901823,39.36700555853589
344,2000-10-15 23:44:00.864086408,New Robert,Zimbabwe,12.835766354572751,480.32053660046125,-0.5058031263852492,14.725029771858733,48.93552356542244,20.055742911655123
345,2000-10-16 19:53:44.122412240,Lake Wayne,Equatorial Guinea,17.913937362209833,474.9800504645829,-0.0436439339112248,81.38805690095494,64.6105496468005,1.9300918215122365
350,2000-10-21 00:42:20.414041404,Jenniferfurt,Cote d'Ivoire,5.332163246654227,347.52809926895293,0.5022428392809412,1.2839587859686863,96.16829696887524,19.169348760356403
364,2000-11-01 18:58:26.030603060,New Samantha,Zimbabwe,16.23352234081335,387.6594274299914,-0.7561065567076153,48.10876785738256,83.12080484139976,25.681227292437903
366,2000-11-03 11:17:52.547254724,West Rachel,Chad,13.975677566413856,440.9301455734617,1.5557490362713473,66.9760657315384,23.9760418333128,0.2590971376655593
367,2000-11-04 07:27:35.805580556,Martinhaven,Senegal,21.15573519154735,292.7917229547479,-2.179743411821005,59.97124393766373,8.64198464239534,20.950136481502835
369,2000-11-05 23:47:02.322232220,Port Jeffreyshire,Zimbabwe,15.294642617449124,347.059151671734,1.6160317749153248,52.48959309368437,9.461339106697974,31.86287910395586
372,2000-11-08 12:16:12.097209720,Sarahshire,Sierra Leone,16.190467412475574,397.0778425405073,-1.514054781891882,99.47253254747352,87.8250948860034,19.67719514878488
373,2000-11-09 08:25:55.355535552,Harrisfurt,Djibouti,12.429218800638449,381.3955934411679,-1.037806122788499,68.78343881540309,25.031713039924096,24.76047300567626
389,2000-11-22 19:01:27.488748872,Gutierreztown,Equatorial Guinea,27.18135572285772,441.212223965372,0.8304118755563437,71.57166696327899,97.34909152275794,7.025699724578216
392,2000-11-25 07:30:37.263726372,Leside,Gabon,19.04758565122112,431.7465322535113,-0.474576095668648,39.06511493352236,0.4383938865966552,41.95413033772687
406,2000-12-07 01:46:42.880288028,South Brandonmouth,Botswana,19.69729414711512,471.7316747103415,1.5012311605261164,46.13128890709663,9.65456292822122,23.80789166705128
410,2000-12-10 10:25:35.913591356,Lynnborough,Gabon,17.564766142083155,366.3225057806655,0.3325840097469094,14.27199717897687,35.02987622808271,48.06304777271779
416,2000-12-15 11:23:55.463546352,West Davidberg,Comoros,20.26115733356254,249.00594362639424,-0.7028703594731202,5.336165671243487,84.94023383441643,9.709070476356956
421,2000-12-19 16:12:31.755175516,Veronicabury,Algeria,5.710666585126432,357.50590216883705,-0.1579571561891889,87.70734695458525,4.243661440382295,3.0423388996967504
429,2000-12-26 09:30:17.821782176,East Natalie,Liberia,20.74982284641657,440.3153319701214,1.2533845020695304,62.50419392656058,47.88288276749768,38.56094981228164
436,2001-01-01 06:38:20.630063004,East Eric,Mozambique,11.358374262564212,414.17080928449633,-0.4413371040122554,28.23327420245191,22.845956715487937,28.252761265063057
441,2001-01-05 11:26:56.921692168,Lake Gregory,Liberia,14.47969924535076,354.4484088683845,-0.5022507541378889,17.381078675458582,14.409192503849832,17.05914403739585
442,2001-01-06 07:36:40.180018000,Port Matthewfort,Burkina Faso,9.198689954693997,582.8997013258188,-2.408251049321129,24.835655061234185,68.31751907340487,10.496045618513412
444,2001-01-07 23:56:06.696669664,Samanthatown,Zambia,15.744270002758793,328.8437361608146,-0.8193515504514621,85.86172563716215,36.65804501133413,26.18783791121821
447,2001-01-10 12:25:16.471647164,Allenville,Tanzania,17.584585621837647,474.4943467792479,0.6003323325974889,86.94745919438537,52.65359795126601,43.81910103178359
450,2001-01-13 00:54:26.246624660,West Scottborough,Nigeria,19.08884853807086,396.0799307644558,-0.9698989875970212,84.24294030763414,70.61803784882704,48.28209805488897
454,2001-01-16 09:33:19.279927992,West Jennifer,Ghana,11.902685514510075,436.2726605076024,0.3864843998812128,48.41465929116943,85.8251397474667,4.096008393139083
468,2001-01-28 03:49:24.896489648,Martinezfort,Lesotho,7.932853447913429,424.339017919854,0.6277476448607249,34.30295205660157,57.10023065041718,26.5977703438603
475,2001-02-03 00:57:27.704770476,Calderonport,Eritrea,14.822201547848223,393.17939094314187,0.3793008364312065,83.12659502543738,58.19904010072923,5.749382348260829
479,2001-02-06 09:36:20.738073804,North Janetberg,Kenya,16.53161390434549,424.2113336210261,1.120179738894222,4.583677459343605,24.92627319324804,21.964065996202542
494,2001-02-19 00:02:09.612961292,Kellyside,Liberia,21.362509521375067,354.0097098464108,0.1220993767170434,44.35445015346375,89.52576173691331,22.50071884161841
